Shogo Orita
Yusuke Toyama
1,2,6,0,0,0
22,3,4,0,0,0
6,7,6,0,0,0
27,8,4,0,0,0
1,2,5,0,0,0
36,3,2,0,0,0
15,7,8,0,0,0
38,8,8,1,0,0
13,8,8,0,0,0
34,2,2,0,0,0
14,3,8,0,0,0
27,8,5,0,0,0
13,7,7,0,0,0
34,3,3,0,0,0
2,3,6,0,0,0
33,6,2,0,0,0
3,4,6,0,0,0
25,6,4,0,0,0
0,1,6,0,0,0
20,1,4,0,0,0
8,9,6,0,0,0
28,9,4,0,0,0
12,3,7,0,0,0
35,5,2,0,0,0
19,6,8,0,0,0
39,4,2,0,0,0
14,4,7,0,0,0
26,7,4,0,0,0
16,4,8,0,0,0
31,7,3,0,0,0
17,2,9,0,0,0
33,6,3,0,0,0
14,5,6,0,0,0
37,8,1,0,0,0
5,6,6,0,0,0
35,6,2,0,0,0
19,6,9,0,0,0
39,4,1,0,0,0
19,7,9,0,0,0
39,5,2,0,0,0
17,2,7,0,0,0
33,5,4,0,0,0
17,2,8,0,0,0
39,4,1,0,0,0
12,4,5,0,0,0
34,4,2,0,0,0
0,1,5,0,0,0
20,1,5,0,0,0
1,2,4,0,0,0
21,2,4,0,0,0
17,2,4,0,0,0
0,2,3,0,0,1
17,2,9,0,0,0
23,4,4,0,0,0
6,7,5,0,0,0
33,6,3,0,0,0
21,1,2,0,0,1
30,1,2,0,0,0
38,1,1,0,0,1
18,2,2,0,0,1
38,2,2,1,0,0
36,2,2,0,0,0
14,5,5,0,0,0
23,4,5,0,0,0
6,7,4,0,0,0
33,7,4,0,0,0
14,6,4,0,0,0
27,8,6,0,0,0
7,8,6,0,0,0
1,7,6,0,0,1
13,7,6,0,0,0
21,8,8,0,0,1
15,8,8,0,0,0
37,8,6,0,0,0
26,7,7,0,0,1
12,5,2,0,0,1
14,7,3,1,0,0
35,7,3,0,0,0
25,8,7,0,0,1
37,8,3,0,0,0
18,1,1,0,0,1
36,3,2,0,0,0
27,2,2,0,0,1
23,4,6,0,0,0
27,2,1,1,0,0
23,4,7,1,0,0
27,2,2,1,1,0
23,4,8,1,1,0
27,3,2,1,1,0
39,3,2,0,0,0
31,4,5,0,0,1
12,6,4,0,0,0
32,4,4,0,0,1
39,4,3,0,0,0
36,5,5,0,0,1
16,3,2,0,0,1
32,3,2,1,0,0
39,5,2,0,0,0
32,4,2,1,1,0
39,6,1,0,0,0
36,6,4,0,0,0
35,6,4,0,0,0
12,8,4,0,0,1
6,7,2,0,0,1
31,5,3,1,0,0
39,7,1,0,0,0
11,9,7,0,0,0
37,8,4,0,0,0
31,6,2,1,1,0
39,8,2,0,0,0
17,2,3,1,0,0
7,4,3,0,0,1
17,4,3,1,1,0
3,6,3,0,0,1
31,7,2,1,1,0
39,7,2,0,0,0
17,5,2,1,1,0
12,6,2,0,0,1
18,4,4,1,0,0
14,7,3,0,0,1
18,6,2,1,1,0
14,6,2,0,0,0
34,6,1,0,0,1
39,8,3,0,0,0
17,6,2,1,1,0
