Nobuyuki Yashiki
Hiroyuki Miura
1,2,6,0,0,0
27,8,4,0,0,0
1,2,5,0,0,0
27,8,5,0,0,0
6,7,6,0,0,0
36,3,2,0,0,0
18,7,7,0,0,0
22,3,4,0,0,0
13,6,8,0,0,0
38,7,7,1,0,0
13,7,7,0,0,0
34,2,2,0,0,0
15,7,8,0,0,0
34,3,3,0,0,0
14,4,8,0,0,0
33,6,2,0,0,0
3,4,6,0,0,0
26,7,4,0,0,0
14,4,7,0,0,0
39,4,2,0,0,0
2,3,6,0,0,0
25,6,4,0,0,0
19,6,8,0,0,0
31,7,3,0,0,0
12,3,7,0,0,0
35,5,2,0,0,0
17,2,9,0,0,0
28,9,4,0,0,0
8,9,6,0,0,0
20,1,4,0,0,0
0,1,6,0,0,0
33,6,3,0,0,0
16,4,8,0,0,0
33,5,4,0,0,0
14,5,6,0,0,0
35,6,3,0,0,0
5,6,6,0,0,0
39,3,1,0,0,0
19,7,9,0,0,0
25,6,5,0,0,0
12,4,5,0,0,0
34,4,2,0,0,0
5,6,5,0,0,0
23,4,4,0,0,0
5,6,4,0,0,0
35,6,4,0,0,0
38,7,1,0,0,1
37,5,2,0,0,0
25,6,2,0,0,1
35,6,3,0,0,0
38,8,2,1,0,0
23,4,5,0,0,0
38,9,1,1,1,0
35,6,2,0,0,0
29,6,9,0,0,1
5,6,4,0,0,1
3,4,5,0,0,0
34,3,3,0,0,0
6,7,5,0,0,0
26,7,5,0,0,0
23,7,4,0,0,1
31,6,5,0,0,0
29,6,5,0,0,0
33,6,5,0,0,0
1,2,4,0,0,0
21,2,4,0,0,0
23,7,3,1,0,0
26,7,6,0,0,0
23,6,2,1,1,0
37,6,2,0,0,0
38,7,3,1,1,0
37,4,2,0,0,0
38,5,1,1,1,0
26,7,7,1,0,0
11,7,7,0,0,0
33,5,6,0,0,0
38,4,2,1,1,0
36,4,2,0,0,0
4,5,6,0,0,0
12,6,6,0,0,1
3,4,4,0,0,0
12,7,8,1,0,0
19,7,8,0,0,0
13,6,6,0,0,1
26,6,7,0,0,1
13,7,7,1,0,0
19,7,7,0,0,0
11,6,5,0,0,1
19,7,6,0,0,0
29,7,1,0,0,1
31,7,4,0,0,1
14,8,4,0,0,1
12,4,3,0,0,1
39,3,2,0,0,0
33,4,1,0,0,1
39,2,2,0,0,0
